,0,1,2,3
CXCL1,0.947,0.174,0.164,0.214
DLK1,0.082,0.107,0.986,0.099
NQO1,0.019,0.014,0.014,1.0
PDZK1IP1,0.126,0.098,0.986,0.05
LCN2,0.037,0.036,0.045,0.998
DKK1,0.094,0.067,0.141,0.983
TMSL8,0.071,0.109,0.988,0.089
MMP1,0.993,0.031,0.077,0.085
WFDC2,0.091,0.095,0.985,0.112
CEACAM6,0.966,0.065,0.149,0.202
COCH,0.014,0.007,0.011,1.0
DSC3,0.103,0.027,0.056,0.993
IGF2,0.053,0.007,0.999,0.01
MMP13,0.976,0.059,0.195,0.071
CEL,0.065,0.148,0.986,0.05
GSTM3,0.062,0.971,0.099,0.208
FZD10,0.064,0.038,0.026,0.997
TCN1,0.048,0.026,0.049,0.997
SERPINB5,0.063,0.005,0.029,0.998
NRN1,0.115,0.955,0.225,0.157
PTN,0.069,0.074,0.055,0.993
PTGS2,0.986,0.025,0.16,0.049
IGKV1-5,0.13,0.978,0.114,0.115
IL1F9,0.981,0.048,0.092,0.166
LMO3,0.95,0.133,0.222,0.174
IL1A,0.989,0.035,0.106,0.101
BEX1,0.135,0.127,0.981,0.061
DMBT1,0.963,0.112,0.164,0.182
TOX3,0.032,0.023,0.999,0.028
FOLR1,0.954,0.127,0.22,0.157
TSPYL5,0.083,0.967,0.215,0.107
CYP4F11,0.008,0.004,0.004,1.0
KLK11,0.969,0.073,0.174,0.161
TFF3,0.062,0.08,0.125,0.987
HP,0.07,0.055,0.078,0.993
COL11A1,0.988,0.074,0.105,0.087
AQP3,0.029,0.013,0.999,0.008
ALDH1A1,0.038,0.059,0.055,0.996
CYP4B1,0.07,0.049,0.996,0.036
CP,0.048,0.073,0.173,0.981
RHCG,0.11,0.051,0.077,0.99
BCHE,0.162,0.016,0.055,0.985
CYP26A1,0.09,0.036,0.066,0.993
TNC,0.966,0.144,0.15,0.152
CLDN10,0.092,0.103,0.987,0.082
VTCN1,0.05,0.04,0.07,0.996
SERPINB7,0.987,0.083,0.131,0.047
IGFBP2,0.056,0.057,0.069,0.994
S100A9,0.956,0.1,0.143,0.237
GPR87,0.153,0.092,0.976,0.125
CXCL9,0.026,0.998,0.046,0.043
AHNAK2,0.969,0.029,0.108,0.22
FMO3,0.071,0.097,0.979,0.162
FOXE1,0.047,0.039,0.042,0.997
CA12,0.091,0.023,0.038,0.995
GREM1,0.984,0.086,0.104,0.116
TSPAN8,0.122,0.125,0.188,0.966
MSMB,0.052,0.137,0.173,0.974
KRT31,0.086,0.166,0.963,0.194
KRT4,0.053,0.051,0.992,0.099
SPINK1,0.024,0.007,1.0,0.004
AREG,0.982,0.063,0.118,0.133
ANXA10,0.025,0.018,0.987,0.158
CXCL10,0.038,0.996,0.062,0.047
PRAME,0.051,0.104,0.081,0.99
NLRP2,0.019,0.997,0.05,0.061
SOSTDC1,0.04,0.029,0.059,0.997
AIM2,0.09,0.061,0.994,0.005
DDX3Y,0.038,0.117,0.992,0.015
NELL1,0.017,0.004,0.01,1.0
S100A8,0.97,0.109,0.106,0.188
GHR,0.043,0.019,0.035,0.998
CABYR,0.006,0.013,0.008,1.0
VSNL1,0.1,0.064,0.07,0.991
CRYAB,0.12,0.041,0.066,0.99
ADAM23,0.015,0.015,0.012,1.0
FABP6,0.031,0.141,0.989,0.009
POPDC3,0.994,0.069,0.063,0.052
SLC34A2,0.945,0.176,0.245,0.13
ODAM,0.07,0.18,0.978,0.078
SLCO1B3,0.047,0.009,0.024,0.999
CXCL11,0.059,0.989,0.111,0.072
RNF128,0.192,0.008,0.951,0.245
PON3,0.123,0.962,0.226,0.089
HBB,0.952,0.123,0.199,0.197
LRAP,0.044,0.054,0.998,0.009
ZIC1,0.156,0.138,0.977,0.032
TNNT1,0.956,0.138,0.217,0.139
IL8,0.112,0.952,0.137,0.251
S100A12,0.082,0.104,0.155,0.979
CBR3,0.018,0.031,0.016,0.999
NEFL,0.147,0.031,0.049,0.987
IL1R2,0.964,0.157,0.179,0.115
MME,0.995,0.032,0.093,0.029
CYP2C18,0.082,0.102,0.978,0.16
LEPREL1,0.102,0.063,0.077,0.99
CH25H,0.963,0.146,0.148,0.169
CXCL13,0.08,0.991,0.092,0.061
WNT5A,0.031,0.021,0.034,0.999
CCNA1,0.037,0.024,0.029,0.999
CA9,0.109,0.084,0.989,0.052
RBP1,0.949,0.159,0.157,0.222
IL6,0.13,0.032,0.035,0.99
UBD,0.029,0.998,0.049,0.041
HEY1,0.056,0.036,0.058,0.996
INDO,0.026,0.996,0.064,0.048
AADAC,0.077,0.111,0.178,0.975
TMPRSS4,0.026,0.042,0.884,0.464
CXCR7,0.095,0.049,0.067,0.992
NELL2,0.143,0.174,0.974,0.029
TMEM16A,0.036,0.101,0.993,0.038
PLAC8,0.044,0.991,0.082,0.1
SCEL,0.942,0.111,0.223,0.224
SLC6A14,0.954,0.125,0.189,0.194
CSTA,0.144,0.076,0.858,0.487
IGLV3-25,0.157,0.975,0.125,0.098
CDK5RAP2,0.018,0.017,0.021,0.999
PLA2G4A,0.032,0.032,0.038,0.998
KLK7,0.988,0.049,0.108,0.094
NMU,0.06,0.123,0.987,0.087
MMP7,0.972,0.171,0.144,0.068
CBR1,0.011,0.01,0.007,1.0
GAL,0.126,0.165,0.977,0.045
IGF2BP2,0.091,0.06,0.078,0.991
NDUFA4L2,0.133,0.014,0.982,0.13
ZNF750,0.068,0.052,0.995,0.044
TSPAN1,0.115,0.099,0.167,0.974
FLRT3,0.988,0.045,0.134,0.058
PKP1,0.064,0.037,0.054,0.996
CXCL5,0.127,0.158,0.976,0.085
LYPD3,0.106,0.028,0.994,0.032
HBA2,0.976,0.068,0.177,0.109
LAMA3,0.144,0.063,0.097,0.983
STXBP6,0.063,0.099,0.089,0.989
SERPINB13,0.066,0.029,0.052,0.996
RP11-35N6.1,0.045,0.011,0.021,0.999
COL4A5,0.136,0.012,0.136,0.981
GPRC5A,0.975,0.022,0.191,0.11
LRRC17,0.981,0.076,0.157,0.084
NT5E,0.981,0.068,0.139,0.114
CXCL2,0.969,0.146,0.151,0.133
CST6,0.972,0.092,0.209,0.048
KLK8,0.974,0.04,0.089,0.207
TMEM158,0.061,0.033,0.032,0.997
LRRC15,0.989,0.066,0.116,0.058
RAB6B,0.026,0.025,0.031,0.999
ABCA4,0.099,0.056,0.117,0.987
SLC6A15,0.066,0.165,0.96,0.217
HSD17B2,0.04,0.004,0.999,0.004
IFIT1,0.968,0.131,0.206,0.064
ZNF91,0.069,0.013,0.998,0.007
S100A14,0.052,0.987,0.119,0.09
CHST2,0.037,0.118,0.038,0.992
PAMCI,0.085,0.037,0.062,0.994
CYP24A1,0.014,0.011,1.0,0.002
SV2B,0.018,0.993,0.061,0.101
DLX5,0.049,0.129,0.093,0.986
TWIST1,0.984,0.071,0.124,0.106
SRPX,0.984,0.039,0.087,0.152
SOX9,0.154,0.969,0.148,0.124
CNTNAP2,0.023,0.023,0.014,0.999
GABRP,0.025,0.998,0.058,0.006
SLC7A11,0.015,0.018,0.012,1.0
IFI27,0.127,0.167,0.977,0.028
CCL18,0.137,0.964,0.12,0.191
APOD,0.143,0.069,0.143,0.977
OLFM4,0.138,0.08,0.966,0.205
MAP1B,0.053,0.026,0.029,0.998
TF,0.097,0.112,0.185,0.972
IGKC,0.097,0.986,0.086,0.107
ECHDC3,0.14,0.972,0.176,0.075
IGHM,0.104,0.983,0.102,0.112
FST,0.039,0.039,0.064,0.996
GOLSYN,0.082,0.143,0.142,0.976
MYB,0.068,0.978,0.154,0.122
SCG2,0.109,0.068,0.139,0.982
GULP1,0.036,0.023,0.026,0.999
CCND1,0.013,0.99,0.138,0.019
RPL39L,0.078,0.98,0.102,0.151
PIP,0.05,0.07,0.082,0.993
GZMA,0.026,0.997,0.05,0.052
COL10A1,0.987,0.071,0.124,0.073
FMO1,0.075,0.279,0.944,0.157
RTP4,0.092,0.976,0.196,0.035
SERPINA1,0.972,0.124,0.145,0.137
FMO2,0.934,0.148,0.261,0.196
ADAMDEC1,0.048,0.994,0.078,0.067
EREG,0.981,0.06,0.17,0.072
PCP4,0.952,0.13,0.241,0.137
NDRG4,0.056,0.032,0.053,0.997
BAALC,0.059,0.012,0.998,0.036
EIF1AY,0.051,0.213,0.975,0.025
TMEM45A,0.978,0.08,0.184,0.062
POU2AF1,0.037,0.094,0.034,0.994
C4orf31,0.967,0.076,0.191,0.148
C10orf116,0.009,0.043,0.999,0.016
SERPINE2,0.953,0.107,0.094,0.268
EGLN3,0.167,0.026,0.143,0.975
AMIGO2,0.156,0.02,0.986,0.048
STATH,0.065,0.082,0.089,0.99
VAV3,0.053,0.038,0.998,0.008
MLLT11,0.054,0.033,0.032,0.997
HSPA2,0.949,0.139,0.265,0.095
FABP7,0.093,0.133,0.984,0.074
GPR37,0.08,0.097,0.989,0.077
MAGEA10,0.032,0.221,0.975,0.02
SLPI,0.98,0.026,0.135,0.145
BST2,0.03,0.149,0.988,0.008
MGC87042,0.086,0.108,0.088,0.986
CHI3L1,0.075,0.978,0.093,0.171
FXYD3,0.011,0.038,0.028,0.999
IFI44L,0.161,0.961,0.216,0.061
NPTX2,0.976,0.089,0.164,0.108
IGFBP6,0.122,0.075,0.178,0.974
CDH3,0.986,0.062,0.109,0.111
SFRP1,0.988,0.045,0.139,0.04
PGC,0.956,0.116,0.224,0.147
CSN1S1,0.083,0.063,0.989,0.101
IL13RA2,0.14,0.1,0.984,0.049
ASPN,0.977,0.138,0.123,0.111
CRCT1,0.994,0.033,0.096,0.031
SPOCK1,0.127,0.013,0.991,0.029
MMP9,0.974,0.156,0.143,0.084
IQCG,0.044,0.991,0.115,0.051
ALDH8A1,0.108,0.089,0.984,0.109
ST6GALNAC2,0.036,0.022,0.034,0.999
PTX3,0.964,0.149,0.205,0.081
HOXC6,0.076,0.987,0.108,0.089
CCL19,0.061,0.99,0.085,0.09
GNG4,0.131,0.094,0.186,0.969
BAMBI,0.084,0.054,0.146,0.984
PTH2R,0.048,0.988,0.139,0.044
FGA,0.105,0.103,0.983,0.111
GCLM,0.017,0.024,0.014,0.999
RARRES1,0.119,0.972,0.131,0.155
THBD,0.977,0.051,0.088,0.187
CAMK2N1,0.086,0.024,0.996,0.019
COL17A1,0.959,0.12,0.176,0.189
MALL,0.096,0.064,0.986,0.122
PLEK2,0.081,0.04,0.996,0.014
OLFM1,0.014,0.024,0.01,1.0
CA2,0.994,0.023,0.081,0.068
FGF13,0.951,0.079,0.204,0.221
CRABP2,0.115,0.032,0.993,0.012
PSPH,0.043,0.038,0.056,0.997
FGB,0.078,0.09,0.986,0.119
GSTT1,0.08,0.022,0.996,0.012
KIT,0.082,0.968,0.221,0.092
CYB5R2,0.048,0.025,0.059,0.997
PLAT,0.145,0.135,0.125,0.972
CHST7,0.044,0.023,0.031,0.998
HPGD,0.028,0.01,1.0,0.011
IRX4,0.062,0.312,0.939,0.132
NEFH,0.086,0.232,0.967,0.065
MAGEA5,0.978,0.066,0.126,0.149
IGF2BP3,0.069,0.102,0.078,0.989
CST1,0.991,0.018,0.124,0.043
MYH11,0.1,0.041,0.077,0.991
FOXL2,0.133,0.12,0.971,0.156
ME1,0.027,0.046,0.021,0.998
TFF1,0.009,0.01,1.0,0.01
CLGN,0.052,0.177,0.976,0.115
PDPN,0.982,0.073,0.077,0.153
HOXB7,0.048,0.08,0.995,0.029
CCL5,0.04,0.996,0.065,0.053
MUC4,0.067,0.313,0.931,0.178
EPHX1,0.019,0.004,0.007,1.0
MATN2,0.057,0.057,0.05,0.995
IGFBP3,0.138,0.033,0.899,0.414
HRASLS,0.924,0.19,0.281,0.179
HDAC9,0.979,0.094,0.163,0.074
TREM1,0.978,0.104,0.155,0.097
IGHD,0.121,0.987,0.099,0.03
BEX4,0.067,0.069,0.995,0.027
PLCB4,0.056,0.079,0.074,0.993
CPA3,0.121,0.113,0.108,0.98
PCOLCE2,0.056,0.988,0.111,0.091
CHODL,0.024,0.02,0.022,0.999
GZMB,0.033,0.997,0.055,0.048
C5orf23,0.07,0.092,0.113,0.987
RAB38,0.167,0.013,0.063,0.984
FLJ10781,0.052,0.991,0.097,0.073
QPCT,0.124,0.963,0.224,0.083
NTRK2,0.031,0.025,0.029,0.999
MMP3,0.993,0.018,0.041,0.112
VNN1,0.034,0.18,0.983,0.029
FAM70A,0.022,0.049,0.044,0.998
SPINK5,0.951,0.167,0.225,0.131
BCL2A1,0.079,0.987,0.108,0.091
FHL2,0.151,0.018,0.988,0.018
MAGEC2,0.988,0.105,0.107,0.029
SULT1E1,0.092,0.082,0.115,0.986
GALNT14,0.153,0.027,0.073,0.985
APOC1,0.065,0.992,0.082,0.074
SFRP4,0.975,0.144,0.143,0.09
APOL1,0.037,0.076,0.987,0.137
JARID1D,0.051,0.065,0.997,0.005
RSAD2,0.965,0.144,0.208,0.074
BCL11A,0.089,0.959,0.188,0.193
PXDN,0.969,0.114,0.195,0.104
PLAU,0.155,0.973,0.129,0.112
COL21A1,0.157,0.942,0.261,0.142
MUC1,0.13,0.07,0.204,0.968
ENTPD3,0.024,0.007,0.032,0.999
MLPH,0.07,0.059,0.995,0.048
C7,0.953,0.159,0.229,0.118
TMEM100,0.119,0.084,0.985,0.095
TMEM22,0.141,0.961,0.16,0.176
IFI44,0.943,0.189,0.266,0.071
VCAM1,0.069,0.993,0.083,0.053
ABHD9,0.014,0.079,0.997,0.006
UGT2A1,0.087,0.082,0.985,0.128
GATM,0.068,0.98,0.14,0.125
ALDH7A1,0.041,0.099,0.994,0.017
PTPLA,0.099,0.091,0.127,0.983
SLC47A1,0.048,0.059,0.05,0.996
LY75,0.047,0.114,0.992,0.015
GABRE,0.02,0.008,0.009,1.0
CHL1,0.961,0.09,0.226,0.13
SAC,0.005,0.018,0.005,1.0
STAR,0.021,0.996,0.057,0.067
SUSD4,0.05,0.05,0.067,0.995
TXNRD1,0.022,0.045,0.019,0.999
IL1B,0.964,0.118,0.162,0.174
SNAI2,0.12,0.012,0.077,0.99
ABCC5,0.013,0.013,0.013,1.0
TDO2,0.966,0.104,0.107,0.209
PLAC1,0.02,0.996,0.073,0.047
RGS17,0.094,0.095,0.99,0.05
GJB5,0.142,0.085,0.177,0.97
IL1F5,0.982,0.072,0.137,0.104
FCGBP,0.039,0.166,0.982,0.082
SCG5,0.991,0.047,0.117,0.045
DHRS2,0.044,0.018,0.999,0.004
PITX1,0.035,0.081,0.108,0.99
STEAP1,0.057,0.039,0.039,0.997
G6PD,0.01,0.01,0.005,1.0
LDOC1,0.115,0.007,0.99,0.078
KCNJ16,0.092,0.062,0.134,0.985
GCNT3,0.048,0.162,0.984,0.053
EFEMP1,0.951,0.154,0.19,0.19
IL33,0.956,0.128,0.23,0.133
FOS,0.99,0.05,0.119,0.061
KIAA1199,0.954,0.138,0.158,0.213
CLIC3,0.068,0.047,0.996,0.036
DHRS9,0.035,0.018,0.029,0.999
CD36,0.955,0.142,0.22,0.142
MUC16,0.069,0.103,0.991,0.047
SCNN1A,0.067,0.076,0.093,0.99
INA,0.01,0.015,1.0,0.003
MAOA,0.045,0.016,0.884,0.465
HAS2,0.981,0.086,0.145,0.101
TCHH,0.959,0.125,0.183,0.175
LAMP3,0.12,0.973,0.144,0.135
LAMB3,0.139,0.092,0.973,0.156
MS4A4A,0.112,0.978,0.124,0.121
MSLN,0.096,0.075,0.989,0.087
TPD52L1,0.033,0.014,0.016,0.999
AQP1,0.971,0.095,0.184,0.121
MGC29506,0.092,0.983,0.103,0.122
CLEC2B,0.972,0.136,0.161,0.108
PAX6,0.124,0.1,0.98,0.119
CDKN2A,0.06,0.019,0.034,0.997
DIRAS2,0.011,0.019,0.015,1.0
CHGB,0.115,0.099,0.978,0.145
CRIP1,0.102,0.973,0.187,0.087
VNN2,0.03,0.993,0.103,0.039
NDN,0.1,0.053,0.992,0.048
MOCOS,0.036,0.265,0.964,0.009
GLT25D2,0.03,0.017,0.027,0.999
CCL2,0.095,0.982,0.104,0.13
EYA2,0.06,0.093,0.986,0.123
RGS20,0.069,0.048,0.055,0.995
DSC2,0.983,0.087,0.095,0.129
ITGA2,0.976,0.041,0.151,0.151
SERPINI1,0.097,0.098,0.135,0.981
BMP2,0.128,0.054,0.99,0.011
GPX7,0.943,0.176,0.264,0.096
F3,0.958,0.099,0.169,0.211
CILP,0.975,0.14,0.163,0.059
COPZ2,0.088,0.029,0.045,0.995
CADM1,0.956,0.168,0.226,0.076
MX1,0.124,0.959,0.252,0.035
ZBED2,0.99,0.045,0.071,0.109
CKB,0.101,0.131,0.212,0.963
IFI6,0.96,0.155,0.225,0.061
OCA2,0.014,0.999,0.041,0.031
PDZD2,0.097,0.102,0.989,0.042
GNLY,0.015,0.998,0.03,0.046
KRT20,0.026,0.134,0.988,0.077
SGCE,0.077,0.038,0.048,0.995
HSD17B1,0.063,0.025,0.047,0.997
LPL,0.972,0.095,0.194,0.091
CTSL2,0.963,0.085,0.121,0.226
CCL11,0.97,0.104,0.141,0.169
GPC4,0.945,0.132,0.197,0.224
ATF3,0.056,0.097,0.037,0.993
MARCO,0.08,0.985,0.144,0.057
KRT1,0.994,0.021,0.107,0.021
NPR3,0.035,0.081,0.08,0.993
TNFRSF17,0.108,0.979,0.131,0.112
PIR,0.003,0.009,0.006,1.0
CD48,0.069,0.987,0.088,0.113
PAH,0.03,0.994,0.099,0.032
SLC6A8,0.025,0.014,0.028,0.999
ANXA3,0.968,0.119,0.148,0.165
MNDA,0.125,0.968,0.154,0.152
KCNJ15,0.104,0.044,0.984,0.138
SLC7A5,0.056,0.008,0.023,0.998
COL5A1,0.993,0.051,0.099,0.05
CLDN3,0.072,0.975,0.193,0.081
BIK,0.037,0.076,0.053,0.995
C3orf58,0.047,0.1,0.098,0.989
MMP12,0.102,0.984,0.08,0.125
TGFBR3,0.043,0.057,0.993,0.091
HIST3H2A,0.019,0.252,0.947,0.201
SELENBP1,0.1,0.1,0.985,0.097
LHX2,0.027,0.996,0.073,0.053
C8orf4,0.068,0.09,0.993,0.04
HRASLS3,0.047,0.027,0.057,0.997
MT1E,0.971,0.086,0.2,0.103
NUDT11,0.095,0.127,0.982,0.103
COL5A2,0.984,0.096,0.112,0.098
CPE,0.956,0.166,0.183,0.156
NMB,0.02,0.005,0.018,1.0
INSM1,0.017,0.998,0.056,0.017
KAL1,0.963,0.146,0.202,0.098
BAG2,0.041,0.046,0.042,0.997
ISG15,0.13,0.968,0.21,0.044
D4S234E,0.049,0.006,0.999,0.009
TNFAIP6,0.962,0.191,0.138,0.136
ZNF415,0.093,0.024,0.995,0.033
APOC2,0.078,0.984,0.127,0.1
COLEC12,0.972,0.107,0.166,0.126
HLA-DQB1,0.07,0.99,0.089,0.08
FZD7,0.089,0.108,0.11,0.984
ID1,0.231,0.009,0.973,0.02
PYGL,0.985,0.013,0.164,0.049
FAT2,0.393,0.031,0.91,0.124
GCLC,0.01,0.013,0.011,1.0
MFAP5,0.981,0.07,0.144,0.109
SOX2,0.032,0.027,0.035,0.998
PGD,0.004,0.009,0.004,1.0
CFH,0.097,0.039,0.993,0.052
BASP1,0.993,0.053,0.093,0.055
LY96,0.111,0.114,0.092,0.983
FCER1A,0.94,0.111,0.239,0.218
CHIT1,0.137,0.972,0.178,0.071
HIST1H4H,0.124,0.042,0.108,0.985
SCN9A,0.02,0.008,0.011,1.0
ARMCX2,0.071,0.12,0.988,0.071
GAS2,0.091,0.074,0.99,0.084
COL15A1,0.958,0.173,0.148,0.172
CAV1,0.985,0.051,0.101,0.13
HIST2H2BE,0.095,0.078,0.986,0.112
ABCC1,0.016,0.016,0.013,1.0
CPS1,0.141,0.96,0.198,0.139
BIRC3,0.022,0.998,0.052,0.013
PITX2,0.144,0.153,0.971,0.113
SYT1,0.043,0.152,0.986,0.06
CCND2,0.965,0.114,0.157,0.177
ADORA2B,0.112,0.084,0.918,0.371
KYNU,0.033,0.772,0.625,0.111
HS3ST3A1,0.041,0.059,0.033,0.997
FAP,0.984,0.083,0.112,0.108
HSPB8,0.979,0.076,0.18,0.064
ASS1,0.01,0.085,0.064,0.994
PKIA,0.98,0.053,0.177,0.069
ULBP2,0.082,0.102,0.989,0.074
WNT11,0.035,0.012,0.024,0.999
PPL,0.069,0.019,0.981,0.182
CXorf57,0.015,0.008,0.054,0.998
APOBEC3A,0.971,0.142,0.154,0.112
SLC35F2,0.965,0.102,0.231,0.064
PHLDA1,0.972,0.081,0.15,0.16
CYP4F2,0.024,0.022,0.021,0.999
IRS1,0.115,0.008,0.993,0.029
CTSK,0.986,0.084,0.095,0.111
PRKAR2B,0.068,0.969,0.191,0.142
C17orf81,0.072,0.099,0.147,0.981
SOCS2,0.966,0.107,0.135,0.191
KRT19,0.008,0.101,0.085,0.991
WASF3,0.085,0.069,0.993,0.041
PSMB9,0.075,0.991,0.087,0.062
GRP,0.981,0.044,0.112,0.155
FCGR3B,0.091,0.976,0.173,0.098
NPY,0.326,0.116,0.802,0.487
MXRA5,0.992,0.03,0.064,0.106
PLA2G7,0.067,0.988,0.108,0.085
FLJ20035,0.94,0.182,0.283,0.054
KCNS3,0.033,0.099,0.062,0.993
CYP39A1,0.992,0.039,0.112,0.046
MX2,0.055,0.101,0.993,0.013
TM4SF1,0.077,0.048,0.047,0.995
MOXD1,0.074,0.989,0.099,0.086
C10orf38,0.044,0.99,0.123,0.045
XK,0.046,0.169,0.984,0.02
IL7R,0.982,0.124,0.122,0.07
PTGDS,0.128,0.976,0.143,0.102
OLR1,0.173,0.955,0.207,0.124
ADAMTS1,0.07,0.047,0.053,0.995
C20orf42,0.238,0.067,0.963,0.106
HOXC10,0.066,0.168,0.982,0.051
TMEPAI,0.981,0.052,0.184,0.032
HIST1H1C,0.091,0.125,0.112,0.982
ALDH1A3,0.127,0.967,0.211,0.064
WISP3,0.057,0.153,0.986,0.016
DKFZP564O0823,0.075,0.989,0.114,0.063
EGR1,0.977,0.093,0.122,0.146
DDX58,0.158,0.958,0.225,0.082
FOXF2,0.046,0.073,0.995,0.049
AZGP1,0.123,0.122,0.962,0.212
HCLS1,0.087,0.972,0.097,0.198
MGLL,0.15,0.958,0.216,0.115
NUPR1,0.102,0.972,0.161,0.138
APOBEC3B,0.068,0.975,0.092,0.188
EBI2,0.15,0.969,0.137,0.141
CPVL,0.11,0.976,0.159,0.1
ORM1,0.936,0.166,0.245,0.188
SLC38A4,0.153,0.063,0.982,0.091
MMP2,0.998,0.012,0.061,0.015
VCAN,0.983,0.105,0.12,0.095
SPRY2,0.962,0.068,0.164,0.208
SLC2A10,0.049,0.032,0.998,0.027
THBS2,0.986,0.081,0.094,0.111
ARNTL2,0.056,0.034,0.028,0.997
MN1,0.97,0.077,0.157,0.169
C20orf19,0.988,0.046,0.144,0.034
SH3YL1,0.04,0.068,0.997,0.005
HCP5,0.098,0.985,0.117,0.077
PELI2,0.046,0.05,0.055,0.996
ATP2C2,0.12,0.081,0.974,0.173
TMC5,0.091,0.118,0.981,0.126
DUSP6,0.964,0.079,0.215,0.138
FCGR2B,0.14,0.969,0.155,0.133
DEPDC6,0.05,0.122,0.983,0.129
KRT24,0.071,0.094,0.959,0.259
C4orf19,0.03,0.124,0.991,0.028
KLK10,0.988,0.04,0.09,0.122
CD69,0.143,0.972,0.15,0.111
NPPC,0.018,0.998,0.062,0.016
POSTN,0.974,0.145,0.103,0.143
GPR177,0.971,0.031,0.124,0.204
ITGA6,0.119,0.105,0.147,0.976
VSIG4,0.101,0.98,0.115,0.129
BBOX1,0.977,0.061,0.199,0.038
HIST1H3H,0.957,0.088,0.206,0.184
VLDLR,0.089,0.069,0.089,0.99
CYP27B1,0.982,0.102,0.152,0.04
ARL14,0.049,0.145,0.988,0.006
CD163,0.124,0.975,0.116,0.144
XAF1,0.143,0.966,0.205,0.071
CNTN1,0.036,0.094,0.108,0.989
NLGN4X,0.057,0.125,0.988,0.07
EHF,0.052,0.046,0.997,0.025
SLC2A1,0.167,0.021,0.852,0.496
ARTN,0.036,0.023,0.022,0.999
ICAM4,0.031,0.995,0.086,0.026
TKTL1,0.085,0.057,0.993,0.066
OSGIN1,0.006,0.007,0.006,1.0
C1QB,0.073,0.99,0.094,0.081
RNASE1,0.96,0.139,0.216,0.114
